come to clGetPlatformIDs 0 (nil) 0xbee89d8c 0
come to createhashmaps
call real func
real function no?
get numplatforms 2
come to clGetPlatformIDs 2 0x17dfa00 (nil) 1
1586519376.944354	clEnqueueNDRangeKernel	0.004991	0.004991
1586519376.944375	clsched_kernel_launch	0.005032	0.005032
1586519376.948374	clEnqueueNDRangeKernel	0.008970	0.003980
1586519376.948382	clsched_kernel_launch	0.009032	0.004001
1586519376.948584	clsched_decompose	0.009259	0.009259
1586519376.950715	clEnqueueNDRangeKernel	0.011060	0.002090
1586519376.950725	clsched_kernel_launch	0.011141	0.002109
1586519376.952303	clEnqueueNDRangeKernel	0.012621	0.001561
1586519376.952311	clsched_kernel_launch	0.012721	0.001580
1586519376.952433	clsched_decompose	0.013080	0.003822
1586519377.169820	clEnqueueNDRangeKernel	0.076127	0.063506
1586519377.170071	clsched_kernel_launch	0.076731	0.064010
1586519377.214469	clEnqueueNDRangeKernel	0.120176	0.044049
1586519377.214696	clsched_kernel_launch	0.121241	0.044510
1586519377.217686	clsched_decompose	0.124843	0.111762
1586519377.243325	clEnqueueNDRangeKernel	0.144785	0.024609
1586519377.243522	clsched_kernel_launch	0.146325	0.025084
1586519377.262733	clEnqueueNDRangeKernel	0.163673	0.018888
1586519377.262903	clsched_kernel_launch	0.165601	0.019276
1586519377.265645	clsched_decompose	0.172143	0.047301
1586519377.514228	clEnqueueNDRangeKernel	0.216034	0.052361
1586519377.514441	clsched_kernel_launch	0.218419	0.052818
1586519377.555362	clEnqueueNDRangeKernel	0.256649	0.040616
1586519377.555520	clsched_kernel_launch	0.259397	0.040978
1586519377.557584	clsched_decompose	0.268216	0.096073
1586519377.584939	clEnqueueNDRangeKernel	0.283346	0.026696
1586519377.585065	clsched_kernel_launch	0.286379	0.026983
1586519377.601490	clEnqueueNDRangeKernel	0.299543	0.016197
1586519377.601611	clsched_kernel_launch	0.302841	0.016461
1586519377.603195	clsched_decompose	0.313399	0.045183
1586519377.824975	clEnqueueNDRangeKernel	0.353832	0.054289
1586519377.825180	clsched_kernel_launch	0.357535	0.054694
1586519377.866222	clEnqueueNDRangeKernel	0.394560	0.040727
1586519377.866410	clsched_kernel_launch	0.398668	0.041133
1586519377.868178	clsched_decompose	0.411176	0.097777
1586519377.894294	clEnqueueNDRangeKernel	0.419973	0.025413
1586519377.894443	clsched_kernel_launch	0.424402	0.025734
1586519377.910817	clEnqueueNDRangeKernel	0.436106	0.016133
